0.949966	Xe
0.951598	Xe
0.958776	Xe
0.968796	Xe
0.970364	Xe
0.972081	Xe
0.980237	Xe
0.992590	Xe
0.996930	Xe
1.002646	Xe
1.006371	Xe
1.007123	Xe
1.011010	Xe
1.012823	Xe
1.019114	Xe
1.025387	Xe
1.051802	Xe
1.053071	Xe
1.055264	Xe
1.070970	Xe
1.076180	Xe
1.084130	Xe
1.089829	Xe
1.108828	Xe
1.113024	Xe
1.114413	Xe
1.129218	Xe
1.141816	Xe
1.149436	Xe
1.161725	Xe
1.174522	Xe
1.179626	Xe
1.186024	Xe
1.186110	Xe
1.187760	Xe
1.191469	Xe
1.195583	Xe
1.208812	Xe
1.223848	Xe
1.226145	Xe
1.245461	Xe
1.259344	Xe
1.262677	Xe
1.354686	Xe
1.366021	Xe
1.414595	Xe
1.424528	Xe
1.436882	Xe
1.466384	Xe
1.473640	Xe
1.542222	Xe
1.605640	Xe
1.673209	Xe
1.733023	Xe
2.063185	Xe
2.320183	Xe
2.483208	Xe
