0.948928	Ne
0.953677	Ne
0.955002	Ne
0.966807	Ne
1.029824	Ne
1.056531	Ne
1.080103	Ne
1.084745	Ne
1.114607	Ne
1.118059	Ne
1.139356	Ne
1.141226	Ne
1.152590	Ne
1.152818	Ne
1.153951	Ne
1.160472	Ne
1.161726	Ne
1.169121	Ne
1.177002	Ne
1.179228	Ne
1.179312	Ne
1.198820	Ne
1.206964	Ne
1.246280	Ne
1.269268	Ne
1.291555	Ne
1.322286	Ne
1.523489	Ne
1.716663	Ne
1.804072	Ne
1.808815	Ne
1.822608	Ne
1.823200	Ne
1.828167	Ne
1.828761	Ne
1.830897	Ne
1.836413	Ne
1.838987	Ne
1.839497	Ne
1.840786	Ne
1.842742	Ne
1.846369	Ne
1.848083	Ne
1.859663	Ne
1.860278	Ne
1.862404	Ne
1.863024	Ne
2.104704	Ne
2.171407	Ne
2.225342	Ne
2.243425	Ne
2.253655	Ne
2.266800	Ne
2.310682	Ne
2.326665	Ne
2.357179	Ne
2.364297	Ne
2.370811	Ne
2.371567	Ne
2.395796	Ne
2.396300	Ne
2.398467	Ne
2.410512	Ne
2.416802	Ne
2.437170	Ne
2.437825	Ne
2.445452	Ne
2.446608	Ne
2.478322	Ne
2.493569	Ne
